country_id,country_name,population
0,United States,385742554
1,Australia,24992369
2,United Kingdom,66488991
3,Netherlands,17231017
4,Canada,37058856
5,Morocco,36029138
6,Sweden,10183175
7,Philippines,106651922
8,New Zealand,4885500
10,South Korea,51635256
11,Cuba,11338138
12,Germany,82927922
13,France,66987244
14,Jamaica,2934855
15,Algeria,42228429
16,Romania,19473936
17,Ireland,4853506
18,Virgin Islands,50601
19,Colombia,49648685
20,South Africa,57779622
21,Norway,5314336
22,Denmark,5797446
23,Italy,60431283
24,Iceland,353574
25,Barbados,286641
26,Serbia,6982084
27,Guyana,779004
28,Nigeria,195874740
