"COUNTRY","ID","POPULATION"
"United States","0","385742554"
"Australia","1","24992369"
"United Kingdom","2","66488991"
"Netherlands","3","17231017"
"Canada","4","37058856"
"Morocco","5","36029138"
"Sweden","6","10183175"
"Philippines","7","106651922"
"New Zealand","8","4885500"
"","9","0"
"South Korea","10","51635256"
"Cuba","11","11338138"
"Germany","12","82927922"
"France","13","66987244"
"Jamaica","14","2934855"
"Algeria","15","42228429"
"Romania","16","19473936"
"Ireland","17","4853506"
"Virgin Islands","18","50601"
"Colombia","19","49648685"
"South Africa","20","57779622"
"Norway","21","5314336"
"Denmark","22","5797446"
"Italy","23","60431283"
"Iceland","24","353574"
"Barbados","25","286641"
"Serbia","26","6982084"
"Guyana","27","779004"
"Nigeria","28","195874740"
