"COUNTRY_ID","ID","POPULATION","STATE"
"0","0","8975842","Georgia"
"0","1","8260000","Florida"
"0","2","22000000","California"
"0","3","2901371","Mississippi"
"0","4","456568","Colorado"
"0","5","9883360","Michigan"
"1","6","8046100","New South Wales"
"0","7","8804190","New York"
"2","8","64163534","England"
"3","9","598199","South Holland"
"0","10","264290","New Jersey"
"4","11","2600000","Ontario"
"0","12","2010000","Missouri"
"0","13","1950000","Massachusetts"
"5","14","3144909","Casablanca-Settat"
"0","15","1325518","Maine"
"0","16","5624246","Maryland"
"0","17","3810000","Pennsylvania"
"0","18","5535168","Wisconsin"
"6","19","1515017","Stockholm County"
"0","20","6730000","Texas"
"0","21","1880000","Louisiana"
"0","22","3474182","Puerto Rico"
"7","23","1600000","Metro Manila"
"8","24","417910","Auckland"
"0","25","49736","Virginia"
"0","26","4206074","Kentucky"
"0","27","12772888","Illinois"
"0","28","2460000","Tennessee"
"0","29","11467123","Ohio"
"0","30","49736","West Virginia"
"9","31","0",""
"0","32","2399532","Nevada"
"0","33","1284220","Hawaii"
"10","34","10349312","Seoul"
"2","35","5404700","Scotland"
"11","36","2163824","La Habana"
"4","37","600000","British Columbia"
"0","38","681054","Oklahoma"
"12","39","593085","North Rhine-Westphalia"
"0","40","3527249","Connecticut"
"13","41","338620","Provence-Alpes-Côte d'Azur"
"4","42","1019942","Alberta"
"0","43","170404","North Carolina"
"14","44","937700","Kingston"
"13","45","2138551","Île-de-France"
"0","46","133803","South Carolina"
"0","47","115264","Utah"
"0","48","1912684","New Mexico"
"0","49","5863809","Arizona"
"15","50","164103","Bejaia"
"16","51","1877155","Bucharest"
"1","52","5052800","Queensland"
"0","53","2757631","Arkansas"
"0","54","689545","Washington"
"1","55","6526400","Victoria"
"17","56","32600","County Wicklow"
"18","57","29802","British Virgin Islands"
"19","58","6299886","Antioquia"
"0","59","689545","D.C."
"0","60","475378","Kansas"
"0","61","1890000","Indiana"
"0","62","1757399","Nebraska"
"8","63","383406","Waikato"
"20","64","1619438","Gauteng"
"21","65","636533","Vestland"
"0","66","17570000","Alabama"
"22","67","1680271","Region Hovedstaden"
"23","68","2318895","Lazio"
"3","69","18012","North Holland"
"0","70","5141953","Minnesota"
"12","71","1845229","Hamburg"
"22","72","473201","Funen"
"13","73","2526919","Centre-Val de Loire"
"17","74","88770","Westmeath"
"21","75","580000","Oslo"
"24","76","233034","Höfuðborgarsvæðið"
"14","77","243857","Clarendon"
"1","78","1742700","South Australia"
"0","79","660633","Alaska"
"0","80","50601","United States Virgin Islands"
"25","81","98511","Saint Michael"
"26","82","207062","Prishtinë"
"27","83","235017","Demerara-Mahaica"
"19","84","2166156","Atlántico"
"25","85","1350","Saint James"
"28","86","15388000","Lagos"
"17","87","1024027","Dublin"
"12","88","4012675","Rhineland-Palatinate"
